Facility,Address,Latitude,Longitude,Type
University of Pittsburgh Physicians,3708 Fifth Avenue,40.441691,-79.957888,primary
Brentwood Medical Group Inc,3720 Brownsville Road,40.372172,-79.97564,primary
University of Pittsburgh Physicians,373 Burrows Street,40.44206,-79.970401,primary
Pittsburgh Internal Med Assoc UPMC,3754 Libarary Road,40.364907,-80.021978,primary
University of Pittsburgh Physicians,3811 OHara Street,40.443772,-79.960002,primary
Premier Med Assoc Int Medicine,3824 Northern Pike,40.437512,-79.780996,primary
Minute Clinic Diagnostic of PA LLC,3893 William Pen Highway,40.532508,-79.968039,primary
SMA Jerome Scherer DO,391 Washington Avenue,40.516364,-79.841002,primary
Fort Pitt Senior Health Care Associates,393 Vanadium Road,40.369047,-80.084473,primary
University Critical Care,3937 Butler Street,40.468901,-79.963457,primary
"Mickiewicz Marcinkowska, Ewa MD",4 Allegheny Center,40.453053,-80.004149,primary
University of Pittsburgh Physicians,400 Holland Avenue,40.405049,-79.870219,primary
University Cardiology Service,400 Oxford Drive,40.430525,-79.7876,primary
"Price, Tamara L MD",400 Rouser Road,40.516977,-80.221348,primary
Lindenbaum Perryman and Assocs UPMC,404 Bigham Street,40.431772,-80.015561,primary
Primary Care Health Services Group Practice,404 N Braddock Avenue,40.404703,-79.871414,primary
Univ Ear Nose Throat Specialists,4055 Monroeville Boulevard,40.436359,-79.768611,primary
Lamperski Internal Medicine  LLC,4068 Mount Royal Boulevard,40.565194,-79.963852,primary
Kids Plus Pediatrics PC,4070 Beechwood Boulevard,40.427302,-79.93828,primary
CCP Monroeville Pediatric Assocs,4075 Monroeville Blvd,40.436255,-79.767946,primary
University of Pittsburgh Physicians,4075 Monroeville Boulevard,40.436255,-79.767946,primary
UPMC Keystone Primary Care Dr Paul,4099 William Penn Highway,40.439031,-79.769865,primary
Circulatory Center of PA Inc,410 Rouser Road,40.518401,-80.166725,primary
University of Pittsburgh Physicians,4117 Liberty Avenue,40.46368,-79.953771,primary
University of Pittsburgh Physicians,4117 Penn Avenue,40.465912,-79.954695,primary
Mercy Behavioral Health,412 East Commons,40.45124,-80.002317,primary
UPMC Urgent Care at Monroeville,4145 William Penn Highway,40.439416,-79.765929,primary
"Sivakumar, Usha MD LLC",415 East 4th Avenue,40.602777,-79.751532,primary
Primary Care Health Services Group Practice,415 Neptune Street,40.440483,-80.032969,primary
Craig B Liden Associates,4156 Kenneth Drive,40.624383,-79.943583,primary
Medical Center Clinic,4185 Friendship Avenue,40.46587,-79.952163,primary
Forest Hills Medical Associates UPMC,419 Westinghouse Avenue,40.390042,-79.810108,primary
Pittsburgh Internal Med Assoc UPMC,4190 Brownsville Road,40.365525,-79.983247,primary
Daljit Singh MD Associates,420 North Avenue,40.482606,-79.972885,primary
Mamatas Ragoor Primary Care Associates,4217 Northern Pike,40.434246,-79.758942,primary
Jefferson Internal Medicine PC,422 McMurray Road,40.312623,-80.066512,primary
Mubashar Shouib Chughtai MD UPMC,424 West Grant Avenue,40.372616,-79.850141,primary
Comprehensive Care Associates UPMC,4284 William Flynn Highway Route 8,40.559483,-79.959213,primary
"Castiglione, Angelo MD",4318 Northern Pike,40.433635,-79.751267,primary
Premier Medical  Associates Family  Practice,4341 Northern Pike,40.434821,-79.749405,primary
"BEREZ, FRANNE MD",4354 Murray Avenue,40.42035,-79.928696,primary
"Knupp, Donna L MD PC",4381 Murray Avenue,40.41978,-79.927931,primary
Concentra Urgent Care,4390 Campbells Run Road,40.426212,-80.119053,primary
Univ Ear Nose Throat Specialists,4401 Penn Avenue,40.467315,-79.95359,primary
Steel City South Pediatrics,4411 Stilley Road,40.376066,-79.969628,primary
CCP Bellevue Associates,446 Lincoln Avenue,40.49508,-80.054078,primary
Teladoc Physicians PA,448 Woodland Road,40.557339,-80.19477,primary
"Rudman, Richard MD",4487 Broadway,40.393702,-79.766375,primary
UPP Department of Surgery,450 Holland Avenue,40.405278,-79.869523,primary
Squirrel Hill Health Center,4516 Browns Hill Road,40.416861,-79.925444,primary
Daljit Singh MD Associates,4520 Penn Avenue,40.467202,-79.944453,primary
S W Leehan MD PC,455 East Bruceton Road,40.338077,-79.978961,primary
Univ Ped Assoc Pediatric Neurology,45th Street and Penn Avenue,40.473711,-79.961237,primary
University of Pittsburgh Physicians,4601 Baum Boulevard,40.454302,-79.95308,primary
University of Pittsburgh Physicians,4608 Penn Avenue,40.465623,-79.949219,primary
"McVay, William J MD",4627 5th Avenue,40.447436,-79.947828,primary
MedExpress Urgent Care PC Pennsylvania,4655 William Flynn Highway,40.592049,-79.949299,primary
University Cardiology Service,4721 McKnight Road,40.517805,-80.005705,primary
UPP Department of Surgery,4725 McKnight Road,40.518453,-80.005589,primary
West Penn Medical Associates,4727 Friendship Avenue,40.463232,-79.948128,primary
SMG Santucci UPMC,4747 Liberty Avenue,40.461512,-79.948409,primary
Office Based Anesthesia Solutions Inc,4762 Liberty Avenue,40.461011,-79.947864,primary
Greater Pittsburgh Med Assoc UPMC,4773 Route 8,40.596284,-79.947693,primary
Palliative Medicine Associates,4800 Friendship Avenue,40.461453,-79.946364,primary
UPP Department of Surgery,4815 Liberty Avenue,40.461276,-79.946367,primary
Primary Care Northside,490 East North Avenue,40.482805,-80.036726,primary
ICare Medical,4905 William Penn Hwy,40.43084,-79.710368,primary
Primary Care Health Services Group Practice,4918 Second Avenue,40.409453,-79.944118,primary
CCP Pittsburgh Ped Assoc,4923 Centre Avenue,40.454157,-79.94556,primary
SMA Jerome Scherer DO,4927 Route 8,40.603814,-79.94722,primary
University Cardiology Service,495 East Waterfront Drive,40.413075,-79.907963,primary
"Rudolph, Joseph P MD",4955 Steubenville Pike,40.449063,-80.109051,primary
"Vernino, Richard J, DO",5 Grandview Avenue,40.431195,-80.006367,primary
MedExpress Urgent Care PC Pennsylvania,50 Freeport Road,40.491468,-79.908081,primary
Fort Pitt Senior Health Care Associates,50 Vanadium Road,40.371834,-80.091342,primary
Allegheny Orthopaedic Associates,500 Blazier Drive,40.587367,-80.029893,primary
Univ Rheumatology Svc,500 Hospital Way,40.350086,-79.849288,primary
HVMG Billing,500 Industrial Boulevard,40.559483,-79.959213,primary
Medical and Endocrinology Associates PC,500 Lewis Run Road,40.366826,-79.949233,primary
Univ Rheumatology Svc,500 Naysmith Road,40.367725,-79.817298,primary
Ohio Valley Professional Services,500 Pine Hollow Road,40.473857,-80.096769,primary
Providence Point,500 Providence Point Boulevard,40.377073,-80.087758,primary
Raja Chakrapani MD Rc Med Assoc,501 Penn Avenue,40.405902,-79.825048,primary
UPP Department of Surgery,5115 Centre Avenue,40.45529,-79.942383,primary
UPP Department of Surgery,5115 Centre Avenue 2nd Floor,40.437926,-79.955642,primary
Oncology Hematology Association,5115 Centre Avenue 3rd Floor,40.451096,-79.933261,primary
UPP Department of Surgery,5117 Centre Avenue,40.454856,-79.942137,primary
Family Medicine Rutovic PC,5119 Clairton Boulevard,40.345831,-79.972906,primary
"Roberts, Linda P MD",512 Edgewood Road,40.426977,-79.870436,primary
McCollum Corporation,514 Beltzhoover Ave,40.417795,-79.997537,primary
University Cardiology Service,5140 Liberty Avenue,40.457803,-79.942411,primary
UPP Department of Surgery,5150 Centre Avenue,40.4545,-79.94161,primary
Partners in Nephrology and Endocrinology,5171 Liberty Avenue,40.45806,-79.941567,primary
Rabinowitz and Ciesielka MDs,5173 Liberty Avenue,40.457722,-79.941201,primary
Fatigati and Nalin Associates,5187 Library Road,40.334293,-80.02305,primary
Medi Help,519 Brookline Boulevard,40.396103,-80.022732,primary
Univ Ear Nose Throat Specialists,5200 Center Avenue,40.447683,-80.068427,primary
University Anesthesiology,5200 Centre Avenue,40.454933,-79.940334,primary
MedExpress Urgent Care PC Pennsylvania,5201 Baum Boulevard,40.456186,-79.941914,primary
Bernacki Family Practice and Wellness Center,521 Greenfield Avenue,40.425887,-79.941565,primary
UPMC Shadyside Family Health Centers Inc,5215 Centre Avenue,40.455487,-79.941113,primary
University General Internal Medc,5230 Centre Avenue,40.454842,-79.939791,primary
University Emergency Physicians Inc,5231 Centre Avenue,40.455742,-79.940379,primary
University of Pittsburgh Physicians,5231 Champion Commons,40.467202,-79.944453,primary
"Frey III, Norman J DO",524 Beltzhoover Avenue,40.417575,-79.997531,primary
"Pittle, Howard S MD PC",5247 Brownsville Road,40.342263,-79.985203,primary
"Wagner, James D MD",525 Locust Place,40.541613,-80.180044,primary
North Side Christian Health Center,525 Mount Pleasant Road,40.478014,-79.999949,primary
Polinski Medical Associates,526 Perry Highway,40.522303,-80.034398,primary
South Hills Physical Medicine Inc,5301 Grove Road,40.338077,-79.978961,primary
University Cardiology Service,5318 Ranalli Drive,40.615819,-79.945299,primary
Pinnacle Internal Medicine Associates LLC,532 South Aiken Avenue,40.454535,-79.938363,primary
St Margaret Family Health Center,5321 Penn Ave,40.464918,-79.937814,primary
CCP Healthquest Pediatrics,5321 William Flynn Highway,40.616471,-79.947037,primary
University Geriatric Medicine Service,5360 Saltsburg Road,40.479959,-79.836171,primary
Allegheny Center For Digestive Health,5375 William Flynn Highway,40.619568,-79.946359,primary
"Santiesteban, Joseph MD",5426 Mifflin Road,40.368883,-79.910603,primary
"Dicroce, Joseph N MD",5438 Centre Avenue,40.456262,-79.936721,primary
St Margaret Family Health Center,5475 Penn Avenue,40.464614,-79.933295,primary
Fatigati and Nalin Associates,5482 Campbells Run Road,40.445948,-80.158035,primary
Vohra Health Services PA,550 South Negley Avenue,40.455217,-79.933213,primary
RFP Glenshaw UPMC,5548 William Flynn Highway,40.631692,-79.940126,primary
UPMC Squirrel Hill,5608 Wilkins Avenue,40.432709,-79.924867,primary
JRMC Specialty Services Palliative Care,565 Coal Valley Road,40.31844,-79.933488,primary
Pediatrics South Inc,5676 Steubenville Pike,40.465624,-80.065611,primary
Steel City Internal Medicine UPMC,5700 Corporate Drive,40.556912,-80.019956,primary
University Geriatric Medicine Service,5701 Philips Avenue,40.432709,-79.924867,primary
Minute Clinic Diagnostic of PA LLC,5703 Steubenville Pike,40.451417,-80.134176,primary
Mercy Behavioral Health,5704 Penn Avenue,40.462266,-79.928837,primary
Jefferson Cardiology Association,575 Coal Valley Road,40.322888,-79.925019,primary
"Cholapranee, Rewat MD",575 Lincoln Avenue,40.496632,-80.058208,primary
University Geriatric Medicine Service,5750 Centre Avenue,40.457485,-79.932486,primary
Oncology Hematology Association,5769 Saltsburg Road,40.482859,-79.82787,primary
University of Pittsburgh Physicians,580 South Aiken Avenue,40.453371,-79.937781,primary
UPMC Keystone Primary Care Dr Klein,580 South Aiken Street,40.453371,-79.937781,primary
"Pandit, Santosh M MD",5800 Meridian Road,40.647697,-79.957066,primary
East Side Pediatrics PC,5808 Eva Street,40.461269,-79.928386,primary
St Barnabas Med Ctr Fam Prac,5830 Meridian Road,40.651779,-79.959201,primary
Lindenbaum Perryman and Assocs UPMC,5855 Steubenville Pike,40.44996,-80.139458,primary
UPMC Shadyside Family Health Centers Inc,5889 Forbes Avenue,40.438267,-79.919646,primary
Allegheny Orthopaedic Associates,59 Fort Couch Road,40.337404,-80.051853,primary
Jalit Tuchinda MD PC,596 Pine Hollow Road,40.470279,-80.07725,primary
UPP Department of Surgery,600 Hospital Way,40.350101,-79.849391,primary
University of Pittsburgh Physicians,600 Oxford Drive,40.429731,-79.788088,primary
Hutton Healthcare Services LLC,600 Washington Avenue,40.35751,-80.113089,primary
CCP Pittsburgh Ped Assoc,6000 Brooktree Road,40.614661,-80.061767,primary
"Chen, Anne, MD",6000 Steubenville Pike,40.44554,-80.1447,primary
Fatigati and Nalin Associates,601 McMillen Street,40.356181,-80.110056,primary
Community Care Plus,601 Monroe Avenue,40.494816,-80.058004,primary
"Schaefer, Thomas L MD",6011 Baptist Road,40.344276,-80.014777,primary
East Liberty Family Health Care Center,6023 Harvard Street,40.462945,-79.923073,primary
CCP Mt Lebanon,603 Washington Road,40.383052,-80.043599,primary
James T Campagna MD PC,605 Scenery Drive,40.272426,-79.838106,primary
CCP Bellevue Associates,6080 William Flynn Highway,40.662911,-79.933221,primary
BN Roy MD and Assoc PC,609 Washington Pike,40.357002,-80.112971,primary
Minute Clinic Diagnostic of PA LLC,611 Duncan Avenue,40.567853,-80.023271,primary
Fatigati and Nalin Associates,615 Washington Road,40.372771,-80.047904,primary
RFP Glenshaw UPMC,619 Mount Royal Boulevard,40.512895,-79.958396,primary
Primary Care Health Services Group Practice,627 Lysle Boulevard,40.352477,-79.858547,primary
Plenary Family Practice UPMC,6301 Forbes Avenue,40.438411,-79.919142,primary
Childrens Institute of Pittsburgh Spec Phys,6301 Northumberland Street,40.44201,-79.91883,primary
Carnegie Pediatrics,6315 Forbes Avenue,40.438334,-79.918449,primary
CCP Gil,6343 Penn Avenue,40.459202,-79.919257,primary
Connected Health Medical Services LLC,6400 Brooktree Court,40.613545,-80.06228,primary
UPMC Emergency Medicine Inc,6502 Steubenville Pike,40.449272,-80.159748,primary
Allegheny Center For Digestive Health,651 Holiday Drive,40.422169,-80.060752,primary
HVMG Family Practice Robinson,6521 Stubenville Pike,40.44177,-80.087015,primary
Pittsburgh North Cardiovascular Assoc,660 Lincoln Avenue,40.497983,-80.059788,primary
Lindenbaum Perryman and Assocs UPMC,6600 Steubenville Pike,40.449602,-80.163912,primary
V E Reyes MD and Associates,67 Old Clairton Road,40.338758,-79.963648,primary
University of Pittsburgh Physicians,6714 Kelly Street,40.457744,-79.907929,primary
"Offerman, Joop, MD",6740 Reynolds Street,40.45024,-79.914426,primary
MedExpress Urgent Care PC Pennsylvania,695 Clairton Boulevard,40.328865,-79.944542,primary
Sewickley Valley Pediatric and Adolescent Medicine PC,701 Broad Street,40.542164,-80.177104,primary
Sto Rox Neighborhood Hlth Council Inc PCP,710 Thompson Avenue,40.465006,-80.06288,primary
Community Primary Care,7110 Church Road,40.419746,-79.895141,primary
UPP Ped Adolescent Medcn,7150 Highland Drive,40.478367,-79.899641,primary
DeGiovanni Montini Associates,717 Washington Road,40.379659,-80.044701,primary
East Liberty Family Health Care Center,7171 Churchland Street,40.470112,-79.89441,primary
Penn Plum Family Medicine UPMC,7175 Saltsburg Road,40.476339,-79.789493,primary
Pittsburgh HD VAMC,7180 Highland Drive,40.481609,-79.902839,primary
"Chen, Anne, MD",7197 Saltsburg Road,40.477231,-79.78883,primary
HVMG The Heart and Vascular Center Leetsdale,720 Blackburn Road,40.543454,-80.177601,primary
MedExpress Urgent Care PC Pennsylvania,7219 McKnight Road,40.537972,-80.013336,primary
Primary Care Health Services Group Practice,7227 Hamilton Avenue,40.454588,-79.896213,primary
"Loya, Lauren D MD",730 Holiday Drive,40.421988,-80.063758,primary
Univ Endocrinology Svc,733 Washington Road,40.379093,-80.044883,primary
Office Based Anesthesia Solutions Inc,748 North Negley Avenue,40.471245,-79.926001,primary
Greater Pittsburgh Med Assoc UPMC,7555 Saltsburg Road,40.476525,-79.781392,primary
"Nelson, Lawrence J MD",777 Clairton Blvd,40.325158,-79.943952,primary
KND Development 59 LLC,7777 Steubenville Pike,40.438642,-80.2087,primary
Ramesh Pandey MD,803 Miller Avenue,40.287321,-79.88432,primary
Office Based Anesthesia Solutions Inc,805 Jefferson Avenue,40.632145,-79.712411,primary
Primary Care Health Services Group Practice,807 Wallace Avenue,40.441736,-79.881994,primary
"Ho, Yee C MD",810 Wood Street,40.442408,-79.88518,primary
AGH Internal Medicine,811 Camp Horne Road,40.523431,-80.073755,primary
Comprehensive Care Associates UPMC,811 West View Park Drive,40.516783,-80.033056,primary
Carnegie Pediatrics,813 Washington Avenue,40.402209,-80.082833,primary
Univ Ear Nose Throat Specialists,815 Freeport Road,40.489286,-79.895994,primary
GMA Koman and Kimmell Family Practice,8150 Perry Highway,40.555355,-80.038837,primary
North Side Christian Health Center,816 Middle Street,40.455234,-79.999412,primary
Advanced Nephrology Associates PC,824 California Avenue,40.499617,-80.065179,primary
Alle Kiski Medical Associates,831 Pittsburgh Street,40.541465,-79.778819,primary
Kids Plus Pediatrics PC,850 Clairton Boulevard,40.322326,-79.944112,primary
MedExpress Urgent Care PC Pennsylvania,8702 University Boulevard,40.506125,-80.223605,primary
CCP South Hills,88 Fort Couch Road,40.339237,-80.051253,primary
Northern Medical Associates UPMC,880 Butler Street,40.5072,-79.94612,primary
Pefha Health and Wellness Ctr PC,8989 Frankstown Road,40.461047,-79.867008,primary
Greater Pittsburgh Med Assoc UPMC,900 Mount Royal Boulevard,40.515619,-79.95877,primary
Pediatric Alliance PC Arcadia Division,9000 Perry Highway,40.570596,-80.036822,primary
Family Prac Med Ctr,907 Washington Avenue,40.400664,-80.082519,primary
University Gastroenterology,9100 Babcock Boulevard,40.573319,-80.014525,primary
UPP Department of Surgery,9100 Babcok Boulevard,40.556912,-80.019956,primary
UPP Department of Surgery,9102 Babcock Boulevard,40.572182,-80.016407,primary
Gordon Gold MD and Assoc UPMC,9104  Babcock Boulevard,40.572315,-80.016451,primary
GMA William Zillweger Med Prac,9104 Babcock Blvd,40.572315,-80.016451,primary
James W Boyle MD and Associates UPMC,9104 Babcock Boulevard,40.572315,-80.016451,primary
Campbell and Philbin Assoc,92 Bradford Avenue,40.433562,-80.065537,primary
"Castiglione, Angelo MD",924 Main Street,40.494718,-79.932679,primary
"Nellas, Constantine L MD",925 Brighton Road,40.453037,-80.014772,primary
Mercy Behavioral Health,925 Penn Avenue,40.444224,-79.997339,primary
Valley Family Medc UPMC,928 Route 910,40.58099,-79.866275,primary
Allegheny Center For Digestive Health,9335 Mc Knight Road,40.53537,-80.010444,primary
North Hills Internal Medicine,9335 McKnight Road,40.556912,-80.019956,primary
HVMG The Heart and Vascular Center Leetsdale,935 Thorn Run Road,40.518401,-80.166725,primary
University Cardiology Service,9365 McKnight Road,40.57461,-80.025499,primary
University Cardiology Service,9380 McKnight Road,40.575952,-80.024742,primary
Office Based Anesthesia Solutions Inc,9400 McKnight Road,40.576901,-80.025514,primary
"Klug, Gerald D MD",944 Beaver Grade Rd,40.509999,-80.213038,primary
Negrini Medical Associates,9500 Brooktree Road,40.614562,-80.058355,primary
"Zioncheck, Roger MD PC",955 Rivermont Drive,40.40771,-79.93043,primary
University Cardiology Service,969 Greentree Road,40.420345,-80.044964,primary
West Hills Pediatrics LLC,974 Beaver Grade Road,40.507339,-80.210202,primary
"Hepler Smith, Michael MD",9800 A McKnight Rd,40.586508,-80.038441,primary
"Clark, Brent E., MD",9816 Frankstown Road,40.462628,-79.856428,primary
Medical Center Clinic,9930 Grubbs Road,40.591637,-80.01693,primary
McGinnis Thoracic and Cardiovascular Associates,995 Beaver Grade Road,40.506001,-80.207537,primary
Greentree Medical Center PC,995 Greentree Road,40.417406,-80.044791,primary
Mercy Behavioral Health,9983 Perry Highway,40.591551,-80.046949,primary
Clearfield Jefferson Primary Care Assoc PC,Fifth Ave,40.447526,-79.993398,primary
University Neonatology Associates,Forbes & Halket Streets,40.437068,-79.95953,primary
United Physicians,Four Allegheny Center,40.482805,-80.036726,primary
"Black, Judith Sherman  MD",Longwood at Oakmont,40.526673,-79.808362,primary
HVMG Billing,Ohio River Blvd,40.563123,-80.208393,primary
Upp Ped Child Dev Unit,One Hospital Drive,40.467315,-79.95359,primary
Allegheny Center For Digestive Health,One Walsh Road,40.44177,-80.087015,primary
"Jannelli, Dorothy F MD",Penn Avenue Place,40.447526,-79.993398,primary
HVMG The Heart and Vascular Center Leetsdale,Robinson Plaza Three,40.44177,-80.087015,primary
First Steps Pediatrics and Adolescent Medicine,Route 60 and Park Manor Drive,40.44177,-80.087015,primary
Univ Infectious Disease Svc,University Drive,40.488899,-79.890069,primary
Pittsburgh VA Medical Group,University Drive 111 C-U,40.488899,-79.890069,primary
Pittsburgh VA Medical Group,University Drive C,40.445036,-79.958921,primary
Pittsburgh VA Medical Group,University Drive C-124E-U,40.437926,-79.955642,primary
HVMG The Heart and Vascular Center Leetsdale,Wexford Bayne Rd,40.536485,-80.184424,primary
Adler and Krause Card Med Assoc,Yost at Ardmore Boulevard,40.436883,-79.857683,primary
